"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"422686 (2000 AC6)",60600,0.8537,0.2864,4.70,101.36,188.07,335.02,0.176,Y,ATE,288
"424965 (2009 AM15)",60600,0.8125,0.4870,28.87,166.17,131.48,341.32,,N,ATE,268
"425755 (2011 CP4)",60600,0.9116,0.8703,9.47,147.98,159.93,146.37,,Y,ATE,318
"427684 (2004 DH2)",60600,0.9443,0.4003,23.02,157.29,216.14,291.92,,N,ATE,335
"427778 (2005 BE)",60600,0.8839,0.4211,31.19,115.96,168.70,99.78,,N,ATE,304
"434313 (2004 GP)",60600,0.6965,0.4884,14.55,115.60,278.69,259.50,,N,ATE,212
"434326 (2004 JG6)",60600,0.6352,0.5311,18.94,37.01,353.01,336.94,,Y,IEO,185
"436030 (2009 JO2)",60600,0.8883,0.4783,19.63,203.42,239.71,216.35,0.295,N,ATE,306
"436771 (2012 JG11)",60600,0.962,0.4324,24.73,165.53,280.38,118.97,,N,ATE,345
"437841 (1998 HD14)",60600,0.9633,0.3126,7.81,183.76,260.91,94.39,,Y,ATE,345
"437844 (1999 MN)",60600,0.674,0.6654,2.03,81.42,9.18,115.02,,Y,ATE,202
"446924 (2002 VV17)",60600,0.8376,0.4366,9.70,222.17,348.88,95.47,,N,ATE,280
"450237 (2002 XY38)",60600,0.9112,0.2176,2.12,158.70,119.92,200.77,0.096,N,ATE,318
"450300 (2004 QD14)",60600,0.9417,0.3378,6.25,75.25,109.35,125.12,,Y,ATE,334
"450649 (2006 UY64)",60600,0.9316,0.1574,26.22,30.78,210.90,131.88,,N,ATE,328
"453563 (2010 BB)",60600,0.8201,0.2775,10.02,279.70,29.00,82.29,,Y,ATE,271
"455184 (2000 ED14)",60600,0.835,0.5666,13.78,3.87,310.12,2.21,,Y,ATE,279
"455659 (2005 BO1)",60600,0.9494,0.3563,10.67,113.32,174.20,326.38,,N,ATE,338
"456537 (2007 BG)",60600,0.7868,0.3305,12.75,168.28,133.38,317.57,0.308,N,ATE,255
"457059 (2008 EG)",60600,0.9429,0.7389,26.78,327.45,355.52,323.54,,N,ATE,334
"458452 (2011 BR15)",60600,0.8735,0.2769,10.23,216.81,72.16,130.89,,N,ATE,298
"462238 (2008 CN1)",60600,0.7707,0.3477,7.22,331.46,7.26,26.27,0.227,Y,ATE,247
"464798 (2004 JX20)",60600,0.9016,0.2657,10.53,101.74,349.12,65.91,1.109,N,ATE,313
"466507 (2014 FK33)",60600,0.9755,0.5034,26.96,15.77,328.19,207.44,,N,ATE,352
"467336 (2002 LT38)",60600,0.8452,0.3137,6.18,259.27,162.78,120.77,,Y,ATE,284
"467351 (2003 KO2)",60600,0.7277,0.5108,23.49,215.47,204.04,351.18,,Y,ATE,227
"467352 (2003 KZ18)",60600,0.949,0.3308,23.89,249.95,154.63,272.76,0.470,N,ATE,338
"467460 (2006 JF42)",60600,0.6715,0.5819,5.94,40.83,17.80,307.85,,Y,ATE,201
"468468 (2004 KH17)",60600,0.7121,0.4982,22.13,79.12,340.72,176.08,0.197,Y,ATE,220
"468540 (2006 MD12)",60600,0.8386,0.6052,27.27,291.81,174.56,148.95,,N,ATE,281
"468727 (2010 JE87)",60600,0.9042,0.4370,16.91,120.47,242.31,194.33,0.308,Y,ATE,314
"468909 (2014 KZ44)",60600,0.98,0.3465,39.46,225.11,190.45,57.79,,N,ATE,354
"469445 (2002 LT24)",60600,0.7201,0.4958,0.77,165.66,283.09,17.11,0.143,N,ATE,223
"469737 (2005 NW44)",60600,0.7793,0.4832,6.07,114.31,0.90,184.45,,N,ATE,251
"470310 (2007 LB15)",60600,0.9383,0.3952,25.19,262.77,237.36,128.01,,Y,ATE,332
"474238 (2001 RU17)",60600,0.9584,0.2406,13.89,170.65,330.37,86.82,,N,ATE,343
"474611 (2004 SB56)",60600,0.8658,0.2377,18.69,302.04,233.58,157.52,,N,ATE,294
"475534 (2006 TS7)",60600,0.9467,0.5803,5.50,225.14,300.05,111.86,,Y,ATE,336
"477465 (2009 XZ1)",60600,0.8557,0.5339,8.16,81.97,153.01,149.53,,Y,ATE,289
"480808 (1994 XL1)",60600,0.6709,0.5262,28.17,252.65,356.58,319.43,,Y,ATE,201
"480820 (1998 VF32)",60600,0.8508,0.4438,23.75,236.25,320.96,264.19,,Y,ATE,287
"480883 (2001 YE4)",60600,0.6769,0.5404,4.85,305.32,318.98,205.22,,Y,ATE,203
"480922 (2002 XP37)",60600,0.9551,0.3594,21.53,265.87,317.63,32.76,,N,ATE,341
"481394 (2006 SF6)",60600,0.9501,0.2805,5.84,227.96,305.58,21.90,,Y,ATE,338
"481442 (2006 WO3)",60600,0.7997,0.4474,21.22,252.61,9.68,154.58,,N,ATE,261
"481817 (2008 UL90)",60600,0.695,0.3799,24.31,81.13,183.67,2.40,,Y,IEO,212
"482533 (2012 UA34)",60600,0.7859,0.8017,19.79,18.99,222.39,219.81,,N,ATE,254
"482796 (2013 QJ10)",60600,0.9592,0.4251,18.15,327.43,243.87,31.68,,Y,ATE,343
"483656 (2005 ES70)",60600,0.7633,0.3863,20.82,352.82,351.04,339.71,,N,ATE,244
"487577 (2014 YQ15)",60600,0.9638,0.2358,10.92,81.83,252.34,230.94,,Y,ATE,346
"488803 (2005 GB120)",60600,0.7911,0.3948,9.15,160.86,243.83,23.17,0.209,N,ATE,257
"490581 (2009 WZ104)",60600,0.8553,0.1927,9.84,263.25,10.56,71.51,0.237,Y,ATE,289
"494710 (2005 MO13)",60600,0.8636,0.4108,6.32,176.57,250.22,251.77,,Y,ATE,293
"494999 (2010 JU39)",60600,0.9191,0.5461,36.22,95.16,311.38,294.11,,Y,ATE,322
"495615 (2015 PQ291)",60600,0.9824,0.2375,34.60,234.38,198.96,336.68,,N,ATE,356
"501647 (2014 SD224)",60600,0.9782,0.3309,4.59,286.24,277.23,265.61,,N,ATE,353
"508908 (2003 YX1)",60600,0.8797,0.2670,5.76,89.62,223.14,197.32,,Y,ATE,301
"509352 (2007 AG)",60600,0.7206,0.3741,11.95,283.22,5.71,192.55,,Y,ATE,223
"509505 (2007 VL8)",60600,0.9362,0.3596,9.34,62.33,194.72,17.10,,N,ATE,331
"512234 (2015 VO66)",60600,0.9522,0.6000,14.02,64.46,219.30,291.01,,Y,ATE,339
"512245 (2016 AU8)",60600,0.9818,0.2000,9.18,302.89,21.61,105.47,,N,ATE,355
"513170 (2004 KH15)",60600,0.9611,0.1702,35.07,78.09,350.06,59.49,,N,ATE,344
"513171 (2004 MD6)",60600,0.9509,0.5630,29.32,263.84,231.46,47.22,,Y,ATE,339
"515742 (2015 CU)",60600,0.9714,0.2038,35.37,154.06,197.84,178.95,,N,ATE,350
"516435 (2004 FJ29)",60600,0.9133,0.3492,33.44,195.43,210.28,308.17,,N,ATE,319
"522684 (2016 JP)",60600,0.9939,0.3836,11.33,202.55,255.63,264.69,,Y,ATE,362
"523586 (1999 LK1)",60600,0.9069,0.3326,11.93,239.94,223.63,255.74,,N,ATE,315
"523605 (2004 RX10)",60600,0.9199,0.3513,5.96,173.60,334.12,136.19,,N,ATE,322
"523661 (2012 LF11)",60600,0.8969,0.4831,11.66,222.14,263.59,279.53,,N,ATE,310
"523664 (2012 OD1)",60600,0.8288,0.5029,42.26,303.73,224.36,191.12,0.346,Y,ATE,276
"523808 (2007 ML24)",60600,0.7588,0.3584,33.43,281.87,201.50,287.12,,Y,ATE,241
"523950 (1998 SZ27)",60600,0.9051,0.5068,23.64,166.68,47.73,182.41,,Y,ATE,315
"524471 (2002 JW15)",60600,0.899,0.2663,11.77,218.38,175.30,332.87,,N,ATE,311
"524522 Zoozve (2002 VE68)",60600,0.7236,0.4102,9.04,231.47,355.41,48.01,,Y,ATE,225
"525268 (2004 XL14)",60600,0.7595,0.4104,21.46,85.60,157.59,202.64,,Y,ATE,242
"525498 (2005 GE60)",60600,0.9589,0.2459,5.58,229.72,112.88,163.75,,N,ATE,343
"526742 (2006 WR127)",60600,0.907,0.3761,16.79,260.77,351.49,83.58,,N,ATE,316
"526798 (2007 AA9)",60600,0.8581,0.4203,6.80,270.81,55.92,229.48,,N,ATE,290
"526826 (2007 CA27)",60600,0.8657,0.3437,29.97,122.96,200.07,159.59,,N,ATE,294
"527977 (2008 EY68)",60600,0.745,0.7600,19.79,175.47,199.01,32.02,,N,ATE,235
"528807 (2009 BL71)",60600,0.9367,0.2657,5.55,17.46,292.44,302.73,,N,ATE,331
"530938 (2011 XE)",60600,0.7839,0.4634,20.72,221.25,46.62,331.73,0.413,N,ATE,254
"531060 (2012 DJ61)",60600,0.9176,0.5153,53.63,346.27,311.96,21.87,,Y,ATE,321
"531899 (2013 BE19)",60600,0.9113,0.2974,31.01,309.26,311.97,65.21,,Y,ATE,318
"537829 (2015 XY378)",60600,0.7102,0.4893,13.92,1.21,265.66,120.68,0.312,N,ATE,219
"592968 (2015 FV118)",60600,0.8581,0.5839,6.24,98.47,267.60,220.06,,N,ATE,290
"594913 'Aylo'chaxnim (2020 AV2)",60600,0.5554,0.1771,15.87,6.69,187.35,72.14,,N,IEO,151
"612197 (2000 WP19)",60600,0.8544,0.2884,7.68,55.62,222.18,208.20,,N,ATE,288
"612343 (2002 FT6)",60600,0.9883,0.4627,9.49,188.42,226.83,62.90,,N,ATE,359
"612356 (2002 JX8)",60600,0.7699,0.3057,4.31,68.52,338.12,244.41,,Y,ATE,247
"612443 (2002 RR25)",60600,0.9667,0.3097,13.54,349.80,156.14,308.10,,N,ATE,347
"612970 (2005 HN3)",60600,0.8554,0.3357,7.90,59.34,6.28,349.86,,N,ATE,289
"613010 (2005 OU1)",60600,0.9758,0.3198,12.52,309.70,204.88,110.89,,N,ATE,352
"613286 (2005 YQ96)",60600,0.7434,0.3336,22.23,282.66,340.14,314.69,,Y,ATE,234
"613398 (2006 FK)",60600,0.9225,0.3433,14.61,15.13,3.22,138.24,,N,ATE,324
"613400 (2006 FH36)",60600,0.9553,0.1983,1.58,278.10,156.92,47.70,,N,ATE,341
"613403 (2006 GB)",60600,0.9585,0.1795,10.07,183.68,242.92,8.63,,Y,ATE,343
"613471 (2006 RJ1)",60600,0.9506,0.3004,1.41,93.44,110.35,314.60,,N,ATE,339
"613569 (2006 TU7)",60600,0.8513,0.4703,2.95,91.35,69.22,242.73,,Y,ATE,287
"613676 (2006 WE4)",60600,0.7848,0.1829,24.77,311.00,318.60,108.87,,N,IEO,254
"613726 (2007 EF)",60600,0.8203,0.4101,21.73,158.34,226.04,348.52,0.260,Y,ATE,271
"613862 (2007 UY1)",60600,0.9492,0.1760,1.02,337.45,274.12,235.59,,N,ATE,338
"613939 (2008 CH116)",60600,0.6628,0.5875,20.37,85.90,248.18,196.09,0.322,N,ATE,197
"613949 (2008 CC175)",60600,0.9551,0.5014,10.17,125.60,166.47,221.60,,N,ATE,341
"614134 (2008 TC4)",60600,0.7804,0.5544,10.65,212.54,324.35,320.86,,Y,ATE,252
"618348 (2016 PN)",60600,0.8586,0.3322,21.60,126.04,23.68,247.30,0.160,N,ATE,291
"620091 (2015 FD341)",60600,0.9552,0.6751,20.54,7.52,67.01,172.20,1.248,N,ATE,341
"625991 (2006 UL185)",60600,0.844,0.5019,19.44,52.27,177.35,210.56,,N,ATE,283
"666220 (2010 AO60)",60600,0.9515,0.2483,11.06,309.90,37.33,70.38,,N,ATE,339
"666241 (2010 BK2)",60600,0.9042,0.4479,6.05,278.01,72.66,133.58,0.118,N,ATE,314
"673713 (2015 FQ117)",60600,0.8606,0.6205,4.55,293.85,63.12,178.08,,Y,ATE,292
"678861 (2017 YH)",60600,0.6344,0.4823,19.86,134.16,147.53,11.19,,N,IEO,185
"678989 (2018 GY4)",60600,0.9182,0.7101,17.24,266.98,102.77,298.77,,N,ATE,321
"686964 (2011 GM44)",60600,0.7817,0.5191,49.33,10.82,37.53,308.26,,Y,ATE,252
"693691 (2015 KJ157)",60600,0.9448,0.7374,36.89,101.47,302.07,354.22,,N,ATE,335
"706765 (2010 TK7)",60600,0.9987,0.1903,20.90,96.42,46.05,271.82,0.379,N,ATE,365
