"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"  197P/LINEAR",54004,2.867,0.6299,25.56,66.40,188.75,238.00,,,JFc,1.77e+03
"  206P/Barnard-Boattini",53922,3.234,0.6485,33.20,204.38,181.36,217.44,,,JFc,2.12e+03
"  207P/NEAT",59478,3.872,0.7591,10.19,198.34,273.00,248.36,,,JFc,2.78e+03
"  209P/LINEAR",56081,2.949,0.6819,21.33,62.88,152.64,224.42,,,JFc,1.85e+03
"  210P/Christensen",55230,3.176,0.8317,10.22,93.87,345.77,71.41,,,JFc,2.07e+03
"  217P/LINEAR",55440,3.944,0.6896,12.88,125.62,246.77,44.92,,,JFc,2.86e+03
"  222P/LINEAR",54620,2.857,0.7268,5.15,7.13,345.43,267.12,,,JFc,1.76e+03
"  249P/LINEAR",56863,2.77,0.8187,8.40,239.85,64.81,255.31,,,JFc,1.68e+03
"  252P/LINEAR",57552,3.047,0.6731,10.42,190.95,343.31,16.63,,,JFc,1.94e+03
"  255P/Levy",54456,3.025,0.6720,18.33,279.78,179.59,82.56,,,JFc,1.92e+03
"  262P/McNaught-Russell",55919,6.935,0.8154,29.08,218.01,171.17,341.30,,,JFC,6.67e+03
"  263P/Gibbs",58413,3.06,0.5878,11.54,105.81,34.57,71.27,,,JFc,1.96e+03
"  273P/Pons-Gambart",56369,32.83,0.9753,136.40,320.43,20.19,0.46,,,HTC,6.87e+04
"  289P/Blanpain",58746,3.045,0.6851,5.90,68.92,9.85,342.94,,,JFc,1.94e+03
"  294P/LINEAR",55453,3.194,0.5986,18.54,314.34,234.17,141.45,,,JFc,2.09e+03
"  300P/Catalina",58122,2.699,0.6916,5.68,95.69,222.87,292.86,,,JFc,1.62e+03
"  306P/LINEAR",53403,3.104,0.5983,8.36,341.50,0.77,96.98,,,JFc,2e+03
"  317P/WISE",56433,2.957,0.5802,11.96,275.69,334.74,203.07,,,JFc,1.86e+03
"  319P/Catalina-McNaught",56545,3.573,0.6650,15.07,111.37,203.68,263.69,,,JFc,2.47e+03
"  320P/McNaught",55658,3.103,0.6824,4.89,295.96,0.67,73.92,,,JFc,2e+03
"  321P/SOHO",53458,2.427,0.9807,19.74,165.27,172.41,28.99,,,JFc,1.38e+03
"  322P/SOHO",57179,2.516,0.9787,12.59,359.52,49.05,337.76,,,JFc,1.46e+03
"  323P/SOHO",59259,2.582,0.9848,5.37,324.23,353.17,6.50,,,JFc,1.52e+03
"  325P/Yang-Gao",55978,3.406,0.6243,16.33,258.85,347.00,157.54,,,JFc,2.3e+03
"  333P/LINEAR",57173,4.223,0.7360,131.88,115.56,26.15,324.92,,,JFC,3.17e+03
"  342P/SOHO",57600,3.043,0.9826,13.27,43.40,58.70,5.45,,,JFC,1.94e+03
"  364P/PANSTARRS",58898,2.878,0.7226,12.15,46.22,211.97,122.02,,,JFc,1.78e+03
"  384P/Kowalski",58361,2.907,0.6154,7.28,354.39,37.38,279.20,,,JFc,1.81e+03
"  387P/Boattini",57120,4.799,0.7360,8.90,259.36,162.78,208.93,,,JFc,3.84e+03
"  405P/Lemmon",58091,3.607,0.6891,9.37,3.31,112.29,199.34,,,JFc,2.5e+03
"  414P/STEREO",59229,2.795,0.8117,23.38,257.79,210.74,357.81,,,JFc,1.71e+03
"  460P/PANSTARRS",57495,3.022,0.6663,18.92,180.53,351.90,6.09,,,JFc,1.92e+03
"  463P/NEOWISE",59433,2.976,0.8253,29.44,283.72,215.91,244.87,,,JFc,1.88e+03
"  479P/Elenin",60007,5.62,0.7786,15.39,295.85,263.49,328.31,,,JFc,4.87e+03
